id,date
291,2011-02-15
292,2009-07-22
293,1992-07-26
294,2005-04-25
295,1999-02-15
296,2018-08-03
297,2001-05-17
298,2022-07-30
299,1986-02-25
300,2007-09-24
301,2016-05-07
302,2016-05-29
303,1990-07-16
304,1969-03-13
305,1999-06-25
306,1962-03-01
307,1992-11-20
308,2023-09-18
309,2012-05-26
310,1967-06-28
311,1961-01-13
312,2008-11-11
313,1964-10-25
314,2002-05-06
315,1981-09-06
316,2018-08-24
317,1967-07-15
318,1983-08-13
319,1987-12-03
320,1957-04-17
321,1973-08-31
322,2013-11-08
323,2005-03-18
324,1996-02-14
325,1964-10-01
326,2020-01-07
327,1994-05-29
328,2010-06-27
329,1966-05-15
330,2010-12-03
331,1961-01-12
332,1999-01-23
333,1983-02-13
334,1996-08-07
335,1985-01-01
336,1964-11-23
337,2016-06-09
338,1993-11-12
339,1976-04-16
340,1981-07-16
341,2002-05-18
342,2008-11-21
343,2001-10-16
344,1978-05-29
345,1963-08-12
346,1978-08-31
347,1989-03-23
348,2012-03-21
349,1974-09-19
350,1991-04-25
351,2005-01-13
352,1975-05-20
353,2021-05-14
354,2008-03-10
355,2018-08-24
356,1994-09-22
357,2017-06-22
358,2011-08-31
359,2009-05-07
360,1996-07-17
361,2015-04-16
362,1963-08-28
363,2002-07-01
364,2005-06-04
365,1972-10-13
366,2020-05-05
367,2005-03-28
368,1958-02-25
369,1980-11-19
370,1984-08-14
371,1984-07-11
372,2014-01-01
373,1967-11-23
374,2005-03-17
375,2006-05-13
376,1960-10-30
377,1994-02-12
378,1959-06-23
379,1993-10-07
380,1966-03-08
381,1968-02-02
382,1991-09-19
383,1999-06-13
384,1969-03-15
385,2000-03-28
386,2017-09-09
387,1985-08-03
388,2001-01-30
389,1974-09-21
390,1956-08-12
391,2016-11-13
392,1957-08-13
393,1979-06-03
394,2006-01-24
395,1957-05-18
396,1991-01-18
397,2000-03-29
398,1977-08-01
399,1967-12-18
400,1992-04-13
401,2004-03-22
402,1979-10-31
403,1959-06-22
404,1959-12-09
405,1990-05-03
406,1996-07-17
407,2018-03-06
408,1987-07-14
409,1991-03-16
410,1959-09-12
411,1993-04-04
412,1984-07-19
413,1982-02-02
414,2012-03-30
415,1976-07-03
416,1980-01-13
417,2013-07-08
418,2002-01-07
419,2023-01-20
420,1966-01-12
421,1979-09-09
422,2011-04-30
423,2021-05-29
424,1991-01-24
425,1987-08-08
426,1983-06-26
427,1959-12-26
428,2015-06-09
429,1963-09-06
430,2002-01-26
431,2002-08-01
432,1992-02-11
433,1991-02-23
434,2003-05-24
435,2008-06-22
436,1988-06-19
437,1962-01-30
438,1966-09-09
439,1972-07-01
440,2001-07-27
441,1981-10-23
442,2001-12-08
443,1991-04-21
444,1988-06-02
445,2007-07-13
446,1999-11-08
447,2005-11-15
448,1961-05-03
449,1980-05-26
450,2011-04-27
451,1958-02-10
452,1997-06-30
453,1966-09-26
454,2008-01-12
455,1965-02-18
456,1997-05-21
457,1969-09-12
458,1980-10-25
459,1977-11-16
460,2015-03-14
461,1959-12-28
462,1994-02-09
463,2004-08-02
464,2001-01-21
465,2004-06-27
466,1978-03-09
467,1999-09-05
468,2002-06-24
469,1961-01-13
470,2009-11-05
471,1997-06-09
472,1963-07-07
473,1993-02-13
474,2005-10-27
475,2012-01-13
476,1976-05-15
477,1967-07-23
478,2005-10-27
479,1974-06-21
480,2023-08-18
481,1972-06-22
482,1962-07-15
483,1957-02-02
484,1982-01-03
485,2011-01-08
486,1997-08-13
487,1980-03-02
488,1989-10-16
489,1976-06-07
490,1997-08-06
491,1972-09-17
492,1993-01-16
493,2014-03-06
494,1966-08-03
495,1958-09-28
496,1967-02-20
497,1987-11-09
498,2012-02-18
499,1997-06-16
500,1996-06-01
501,1985-08-04
502,1967-09-07
503,1959-12-08
504,1990-02-10
505,1998-06-22
506,2004-10-07
507,2019-01-05
508,1979-05-17
509,2000-07-28
510,1973-09-24
511,1995-04-21
512,1981-08-31
513,2022-10-02
514,1986-03-17
515,1968-07-30
516,2001-01-06
517,2016-03-02
518,2012-02-04
519,1969-03-17
520,1981-08-16
521,1961-03-26
522,2012-03-04
523,1976-12-06
524,1984-02-21
525,1974-06-30
526,2014-02-20
527,1999-12-26
528,2005-12-19
529,1986-09-02
530,1960-12-04
531,1966-07-14
532,1992-06-30
533,1959-08-16
534,1966-07-04
535,1977-06-19
536,1973-02-01
537,1985-01-07
538,1961-02-04
539,1989-07-09
540,1989-08-29
541,1986-10-18
542,1998-09-13
543,1957-03-27
544,2015-03-04
545,1961-02-20
546,1997-08-03
547,1986-03-24
548,2006-10-21
549,2015-03-22
550,1981-03-29
551,1972-08-06
552,2012-01-23
553,2008-05-08
554,1987-02-15
555,2009-01-28
556,1960-04-06
557,2004-04-26
558,1957-04-14
559,1959-12-16
560,2008-06-03
561,1969-01-21
562,1975-10-15
563,1965-08-19
564,1996-06-17
565,1958-09-30
566,1975-04-16
567,1975-03-29
568,2008-05-31
569,2007-03-23
570,2008-04-05
571,2006-07-27
572,1973-09-22
573,1997-06-15
574,2001-04-14
575,1977-09-27
576,1998-02-20
577,1978-01-05
578,1991-03-20
579,1979-04-14
580,1974-07-28
581,2011-11-21
582,2011-01-08
583,2007-03-22
584,2008-10-16
585,1992-04-04
586,2022-07-07
587,1958-01-06
588,2021-02-13
589,1970-11-16
590,1973-12-08
591,1963-02-09
592,1977-06-17
593,1967-10-08
594,1984-12-28
595,2021-12-08
596,2009-01-24
597,1962-05-10
598,1971-05-11
599,2018-09-13
600,2014-05-24
